City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Morondava,-20.2833,44.2833,84.52,61,39,2.98,MG,2023-01-15 06:36:47
1,New Norfolk,-42.7826,147.0587,69.93,27,0,5.01,AU,2023-01-15 06:36:48
2,Barrow,71.2906,-156.7887,-0.38,71,40,20.71,US,2023-01-15 06:36:48
3,Alice Springs,-23.7,133.8833,92.75,40,40,19.57,AU,2023-01-15 06:32:22
4,Karmaskaly,54.3709,56.1837,-4.09,90,99,9.48,RU,2023-01-15 06:36:49
5,Filadelfia,39.9523,-75.1638,31.1,69,75,16.11,US,2023-01-15 06:34:37
6,Abbeville,50.1,1.8333,46.36,73,77,19.39,FR,2023-01-15 06:36:49
7,Busselton,-33.65,115.3333,79.16,38,0,16.08,AU,2023-01-15 06:36:50
8,Comodoro Rivadavia,-45.8667,-67.5,49.86,87,0,3.44,AR,2023-01-15 06:36:50
9,Thompson,55.7435,-97.8558,-0.24,85,100,8.05,CA,2023-01-15 06:36:51
10,Guerrero Negro,27.9769,-114.0611,58.91,80,100,6.51,MX,2023-01-15 06:36:51
11,Vaini,-21.2,-175.2,84.36,89,40,4.61,TO,2023-01-15 06:36:51
12,Bengkulu,-3.8004,102.2655,83.03,67,34,7.96,ID,2023-01-15 06:36:52
13,Bonthe,7.5264,-12.505,72.7,93,47,4.23,SL,2023-01-15 06:36:52
14,Sinnamary,5.3833,-52.95,73.67,93,96,6.31,GF,2023-01-15 06:36:53
15,Northam,51.0333,-4.2167,44.26,87,96,27.0,GB,2023-01-15 06:36:53
16,Esperance,-33.8667,121.9,75.94,50,100,20.33,AU,2023-01-15 06:36:54
17,San Cristobal,7.7669,-72.225,63.97,93,66,2.06,VE,2023-01-15 06:36:54
18,Avarua,-21.2078,-159.775,75.25,73,20,3.44,CK,2023-01-15 06:36:54
19,Nikolskoye,59.7035,30.7861,37.29,91,99,12.28,RU,2023-01-15 06:36:55
20,Krasnoyarsk,56.0097,92.7917,12.65,82,100,16.2,RU,2023-01-15 06:34:14
21,Khatanga,71.9667,102.5,-38.85,100,99,1.34,RU,2023-01-15 06:36:55
22,Le Vauclin,14.5452,-60.8388,76.84,100,20,0.0,MQ,2023-01-15 06:36:56
23,Sheksna,59.21,38.5107,30.16,96,100,12.55,RU,2023-01-15 06:36:56
24,Ribeira Grande,38.5167,-28.7,53.78,58,20,11.01,PT,2023-01-15 06:36:57
25,Vao,-22.6667,167.4833,77.23,75,20,20.31,NC,2023-01-15 06:36:57
26,Half Moon Bay,37.4636,-122.4286,53.47,89,75,10.36,US,2023-01-15 06:36:58
27,Takoradi,4.8845,-1.7554,78.17,81,31,2.66,GH,2023-01-15 06:33:26
28,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,10.36,CA,2023-01-15 06:36:59
29,Cape Town,-33.9258,18.4232,73.11,63,20,23.02,ZA,2023-01-15 06:36:59
30,Catamarca,-28.4696,-65.7852,78.78,42,28,5.01,AR,2023-01-15 06:37:00
31,Kavieng,-2.5744,150.7967,82.81,74,43,6.67,PG,2023-01-15 06:37:00
32,Touros,-5.1989,-35.4608,78.51,78,3,12.15,BR,2023-01-15 06:32:08
33,Dasoguz,41.8363,59.9666,17.55,45,0,16.11,TM,2023-01-15 06:37:01
34,Zaysan,47.4667,84.8667,-1.28,93,100,3.44,KZ,2023-01-15 06:37:01
35,Arraial Do Cabo,-22.9661,-42.0278,74.64,90,100,24.47,BR,2023-01-15 06:37:02
36,Nacala,-14.5428,40.6728,86.29,64,100,1.74,MZ,2023-01-15 06:37:03
37,Chokurdakh,70.6333,147.9167,-39.15,99,100,3.0,RU,2023-01-15 06:37:05
38,Ushuaia,-54.8,-68.3,49.66,57,75,2.3,AR,2023-01-15 06:36:33
39,Atuona,-9.8,-139.0333,78.69,76,100,13.87,PF,2023-01-15 06:37:08
40,Peniche,39.3558,-9.3811,57.11,95,92,24.4,PT,2023-01-15 06:32:34
41,Hermanus,-34.4187,19.2345,71.8,69,100,14.52,ZA,2023-01-15 06:37:13
42,Bredasdorp,-34.5322,20.0403,69.82,64,100,10.87,ZA,2023-01-15 06:37:14
43,Salalah,17.0151,54.0924,77.09,65,40,3.44,OM,2023-01-15 06:37:15
44,Pevek,69.7008,170.3133,-24.09,96,8,2.24,RU,2023-01-15 06:37:17
45,Tual,-5.6667,132.75,83.59,74,80,14.74,ID,2023-01-15 06:38:19
46,Lorengau,-2.0226,147.2712,83.86,71,50,5.48,PG,2023-01-15 06:38:19
47,Bathsheba,13.2167,-59.5167,77.61,78,40,12.66,BB,2023-01-15 06:38:19
48,Albany,42.6001,-73.9662,25.66,79,52,5.01,US,2023-01-15 06:35:21
49,Sitka,57.0531,-135.33,42.69,81,100,5.75,US,2023-01-15 06:38:21
50,Ponta Pora,-22.5361,-55.7256,63.34,97,100,5.01,BR,2023-01-15 06:38:21
51,Revelstoke,50.9832,-118.2023,32.02,100,100,0.0,CA,2023-01-15 06:38:24
52,Fernie,49.5,-115.0687,34.0,95,98,0.83,CA,2023-01-15 06:38:24
53,Ajdabiya,30.7554,20.2263,61.5,68,55,20.45,LY,2023-01-15 06:38:26
54,Hobart,-42.8794,147.3294,70.27,43,20,23.02,AU,2023-01-15 06:37:50
55,Mwene-Ditu,-7.0,23.45,69.33,87,93,2.66,CD,2023-01-15 06:38:27
56,Wau,7.7029,27.9953,81.1,20,7,7.16,SS,2023-01-15 06:38:28
57,Klaksvik,62.2266,-6.589,27.52,80,100,26.82,FO,2023-01-15 06:38:30
58,Bandarbeyla,9.4942,50.8122,78.48,63,5,18.84,SO,2023-01-15 06:38:31
59,Zhigansk,66.7697,123.3711,-55.43,96,100,2.26,RU,2023-01-15 06:38:31
60,College,64.8569,-147.8028,3.18,84,75,6.91,US,2023-01-15 06:38:32
61,Bluff,-46.6,168.3333,62.78,75,0,10.94,NZ,2023-01-15 06:38:33
62,Ternate,0.8,127.4,83.62,72,100,7.52,ID,2023-01-15 06:38:35
63,Kapaa,22.0752,-159.319,70.12,78,0,8.05,US,2023-01-15 06:38:36
64,Yellowknife,62.456,-114.3525,0.55,85,100,2.3,CA,2023-01-15 06:38:37
65,Lagoa,39.05,-27.9833,54.12,56,1,14.9,PT,2023-01-15 06:38:37
66,Rikitea,-23.1203,-134.9692,77.59,76,1,14.76,PF,2023-01-15 06:38:38
67,Healdsburg,38.6105,-122.8692,48.92,87,100,0.0,US,2023-01-15 06:36:02
68,Yar-Sale,66.8333,70.8333,4.62,96,100,11.48,RU,2023-01-15 06:38:39
69,Port Elizabeth,-33.918,25.5701,72.32,86,75,6.91,ZA,2023-01-15 06:38:39
70,Nizwa,22.9333,57.5333,71.94,37,0,4.34,OM,2023-01-15 06:38:40
